ISM Dhanbad,Mathematics and Computing,S5305
ISM Dhanbad,Mineral Engineering with MBA,S5401
ISM Dhanbad,Mining Engineering with MBA,S5402
ISM Dhanbad,Applied Geology,S5701
ISM Dhanbad,Applied Geophysics,S5702
IIT Varanasi,Ceramic Engineering,V4106
IIT Varanasi,Chemical Engineering,V4107
IIT Varanasi,Civil Engineering,V4109
IIT Varanasi,Computer Science and Engineering,V4110
IIT Varanasi,Electrical Engineering,V4111
IIT Varanasi,Electronics Engineering,V4113
IIT Varanasi,Mechanical Engineering,V4125
IIT Varanasi,Metallurgical Engineering,V4126
IIT Varanasi,Mining Engineering,V4130
IIT Varanasi,Pharmaceutics,V4301
IIT Varanasi,Biochemical Engineering,V5204
IIT Varanasi,Bioengineering with M.Tech in Biomedical Technology,V5206
IIT Varanasi,Ceramic Engineering,V5209
IIT Varanasi,Civil Engineering with M.Tech. in Structural Engineering,V5214
IIT Varanasi,Computer Science and Engineering,V5216
IIT Varanasi,Electrical Engineering with M.Tech. in Power Electronics,V5223
IIT Varanasi,Material Science and Technology,V5232
IIT Varanasi,Mechanical Engineering,V5233
IIT Varanasi,Metallurgical Engineering,V5240
IIT Varanasi,Mining Engineering,V5247
IIT Varanasi,Engineering Physics,V5301
IIT Varanasi,Industrial Chemistry,V5304
IIT Varanasi,Mathematics and Computing,V5305
IIT Varanasi,Pharmaceutics,V5801
